date,saham,volume
2019-07-29,ACES,3685600.0
2019-07-30,ACES,4619600.0
2019-07-31,ACES,6431600.0
2019-08-01,ACES,12070500.0
2019-08-02,ACES,13368500.0
2019-08-05,ACES,5211200.0
2019-08-06,ACES,6663100.0
2019-08-07,ACES,8206100.0
2019-08-08,ACES,10489100.0
2019-08-09,ACES,5346500.0
2019-08-12,ACES,4916000.0
2019-08-13,ACES,5643100.0
2019-08-14,ACES,10829300.0
2019-08-15,ACES,12230300.0
2019-08-16,ACES,7843600.0
2019-08-19,ACES,21333200.0
2019-08-20,ACES,17395100.0
2019-08-21,ACES,11661500.0
2019-08-22,ACES,23179300.0
2019-08-23,ACES,9645200.0
2019-08-26,ACES,10900600.0
2019-08-27,ACES,10291900.0
2019-08-28,ACES,7485200.0
2019-08-29,ACES,13893200.0
2019-08-30,ACES,19793200.0
2019-09-02,ACES,10054300.0
2019-09-03,ACES,14950900.0
2019-09-04,ACES,12469800.0
2019-09-05,ACES,7262700.0
2019-09-06,ACES,8753700.0
2019-09-09,ACES,7004800.0
2019-09-10,ACES,12484100.0
2019-09-11,ACES,10761200.0
2019-09-12,ACES,11351200.0
2019-09-13,ACES,12650200.0
2019-09-16,ACES,14052800.0
2019-09-17,ACES,9688600.0
2019-09-18,ACES,8644100.0
2019-09-19,ACES,7120800.0
2019-09-20,ACES,21893900.0
2019-09-23,ACES,5727800.0
2019-09-24,ACES,8243100.0
2019-09-25,ACES,7519500.0
2019-09-26,ACES,25480000.0
2019-09-27,ACES,15310300.0
2019-09-30,ACES,17310800.0
2019-10-01,ACES,25758700.0
2019-10-02,ACES,6025700.0
2019-10-03,ACES,10653300.0
2019-10-04,ACES,11930100.0
2019-10-07,ACES,5479500.0
2019-10-08,ACES,19602700.0
2019-10-09,ACES,22689000.0
2019-10-10,ACES,19880000.0
2019-10-11,ACES,8544000.0
2019-10-14,ACES,9372600.0
2019-10-15,ACES,26619300.0
2019-10-16,ACES,8276100.0
2019-10-17,ACES,26025000.0
2019-10-18,ACES,12226600.0
2019-10-21,ACES,12034800.0
2019-10-22,ACES,20670200.0
2019-10-23,ACES,17723700.0
2019-10-24,ACES,8837800.0
2019-10-25,ACES,5396800.0
2019-10-28,ACES,9231500.0
2019-10-29,ACES,16023800.0
2019-10-30,ACES,17309700.0
2019-10-31,ACES,49303700.0
2019-11-01,ACES,66497400.0
2019-11-04,ACES,16381200.0
2019-11-05,ACES,13446400.0
2019-11-06,ACES,16948900.0
2019-11-07,ACES,14663200.0
2019-11-08,ACES,96489100.0
2019-11-11,ACES,33589700.0
2019-11-12,ACES,28129000.0
2019-11-13,ACES,31548300.0
2019-11-14,ACES,27529100.0
2019-11-15,ACES,20709000.0
2019-11-18,ACES,37810900.0
2019-11-19,ACES,33278800.0
2019-11-20,ACES,21262500.0
2019-11-21,ACES,26991300.0
2019-11-22,ACES,67173700.0
2019-11-25,ACES,53392100.0
2019-11-26,ACES,453761700.0
2019-11-27,ACES,52459700.0
2019-11-28,ACES,25998800.0
2019-11-29,ACES,36778400.0
2019-12-02,ACES,40078500.0
2019-12-03,ACES,56047900.0
2019-12-04,ACES,19094200.0
2019-12-05,ACES,39560700.0
2019-12-06,ACES,62751300.0
2019-12-09,ACES,31663400.0
2019-12-10,ACES,47184000.0
2019-12-11,ACES,66188600.0
2019-12-12,ACES,39317600.0
2019-12-13,ACES,35826400.0
2019-12-16,ACES,26671400.0
2019-12-17,ACES,17869600.0
2019-12-18,ACES,42443700.0
2019-12-19,ACES,6925500.0
2019-12-20,ACES,15062800.0
2019-12-23,ACES,7008700.0
2019-12-26,ACES,11224300.0
2019-12-27,ACES,8107100.0
2019-12-30,ACES,15903000.0
2020-01-02,ACES,13727900.0
2020-01-03,ACES,15248800.0
2020-01-06,ACES,18050000.0
2020-01-07,ACES,34751300.0
2020-01-08,ACES,32211300.0
2020-01-09,ACES,39305900.0
2020-01-10,ACES,31783100.0
2020-01-13,ACES,14011100.0
2020-01-14,ACES,61989800.0
2020-01-15,ACES,17743700.0
2020-01-16,ACES,11668600.0
2020-01-17,ACES,16551400.0
2020-01-20,ACES,15778800.0
2020-01-21,ACES,30084000.0
2020-01-22,ACES,15311000.0
2020-01-23,ACES,4652900.0
2020-01-24,ACES,2521300.0
2020-01-27,ACES,13462000.0
2020-01-28,ACES,31136300.0
2020-01-29,ACES,8183500.0
2020-01-30,ACES,7031200.0
2020-01-31,ACES,45764800.0
2020-02-03,ACES,40106500.0
2020-02-04,ACES,21324800.0
2020-02-05,ACES,26744700.0
2020-02-06,ACES,12920200.0
2020-02-07,ACES,26416900.0
2020-02-10,ACES,9060800.0
2020-02-11,ACES,9534700.0
2020-02-12,ACES,28666300.0
2020-02-13,ACES,8092500.0
2020-02-14,ACES,20446100.0
2020-02-17,ACES,11931500.0
2020-02-18,ACES,8778800.0
2020-02-19,ACES,13881300.0
2020-02-20,ACES,11534900.0
2020-02-21,ACES,7062500.0
2020-02-24,ACES,9370900.0
2020-02-25,ACES,9023000.0
2020-02-26,ACES,12253600.0
2020-02-27,ACES,19117200.0
2020-02-28,ACES,20747200.0
2020-03-02,ACES,20061500.0
2020-03-03,ACES,14059400.0
2020-03-04,ACES,8613400.0
2020-03-05,ACES,8597300.0
2020-03-06,ACES,5306100.0
2020-03-09,ACES,21716900.0
2020-03-10,ACES,15901500.0
2020-03-11,ACES,16770800.0
2020-03-12,ACES,16413400.0
2020-03-13,ACES,22318400.0
2020-03-16,ACES,15934600.0
2020-03-17,ACES,19395000.0
2020-03-18,ACES,16289100.0
2020-03-19,ACES,8746100.0
2020-03-20,ACES,30277900.0
2020-03-23,ACES,21803500.0
2020-03-24,ACES,29094800.0
2020-03-26,ACES,28193500.0
2020-03-27,ACES,27042000.0
2020-03-30,ACES,10121600.0
2020-03-31,ACES,17014700.0
2020-04-01,ACES,7736700.0
2020-04-02,ACES,16347800.0
2020-04-03,ACES,19467100.0
2020-04-06,ACES,10382300.0
2020-04-07,ACES,16577000.0
2020-04-08,ACES,13241500.0
2020-04-09,ACES,13704200.0
2020-04-13,ACES,7073000.0
2020-04-14,ACES,16541600.0
2020-04-15,ACES,31584900.0
2020-04-16,ACES,13389100.0
2020-04-17,ACES,35307300.0
2020-04-20,ACES,10711200.0
2020-04-21,ACES,12482600.0
2020-04-22,ACES,10577600.0
2020-04-23,ACES,15970200.0
2020-04-24,ACES,14962300.0
2020-04-27,ACES,18046000.0
2020-04-28,ACES,14526100.0
2020-04-29,ACES,14279000.0
2020-04-30,ACES,19788900.0
2020-05-04,ACES,12089600.0
2020-05-05,ACES,6314600.0
2020-05-06,ACES,13115600.0
2020-05-08,ACES,22197500.0
2020-05-11,ACES,15539700.0
2020-05-12,ACES,10675800.0
2020-05-13,ACES,20579600.0
2020-05-14,ACES,18843900.0
2020-05-15,ACES,19285400.0
2020-05-18,ACES,13305300.0
2020-05-19,ACES,12327800.0
2020-05-20,ACES,8962500.0
2020-05-26,ACES,14855600.0
2020-05-27,ACES,13720000.0
2020-05-28,ACES,32267200.0
2020-05-29,ACES,31227300.0
2020-06-02,ACES,28454300.0
2020-06-03,ACES,13768900.0
2020-06-04,ACES,13209900.0
2020-06-05,ACES,18515700.0
2020-06-08,ACES,8174500.0
2020-06-09,ACES,10216300.0
2020-06-10,ACES,8890000.0
2020-06-11,ACES,8911000.0
2020-06-12,ACES,6952600.0
2020-06-15,ACES,23731200.0
2020-06-16,ACES,26306900.0
2020-06-17,ACES,18424000.0
2020-06-18,ACES,23932200.0
2020-06-19,ACES,35238900.0
2020-06-22,ACES,16556500.0
2020-06-23,ACES,10336400.0
2020-06-24,ACES,19738600.0
2020-06-25,ACES,11544800.0
2020-06-26,ACES,7601000.0
2020-06-29,ACES,16289700.0
2020-06-30,ACES,16586500.0
2020-07-01,ACES,16645900.0
2020-07-02,ACES,7339200.0
2020-07-03,ACES,5860300.0
2020-07-06,ACES,8565100.0
2020-07-07,ACES,17824700.0
2020-07-08,ACES,12166800.0
2020-07-09,ACES,8125300.0
2020-07-10,ACES,5855600.0
2020-07-13,ACES,16774700.0
2020-07-14,ACES,13052800.0
2020-07-15,ACES,11953300.0
